index,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,currency_map,Revenue,Transaction_Type
91,536378,84997C,"BLUE 3 PIECE POLKADOT CUTLERY SET",6,"12/1/2010 9:37",3.75,14688,"United Kingdom",£,22.5,Sales
92,536378,21094,"SET/6 RED SPOTTY PAPER PLATES",12,"12/1/2010 9:37",0.85,14688,"United Kingdom",£,10.2,Sales
93,536378,20725,"LUNCH BAG RED RETROSPOT",10,"12/1/2010 9:37",1.65,14688,"United Kingdom",£,16.5,Sales
94,536378,21559,"STRAWBERRY LUNCH BOX WITH CUTLERY",6,"12/1/2010 9:37",2.55,14688,"United Kingdom",£,15.299999999999999,Sales
95,536378,22352,"LUNCH BOX WITH CUTLERY RETROSPOT ",6,"12/1/2010 9:37",2.55,14688,"United Kingdom",£,15.299999999999999,Sales
96,536378,21212,"PACK OF 72 RETROSPOT CAKE CASES",120,"12/1/2010 9:37",0.42,14688,"United Kingdom",£,50.4,Sales
97,536378,21975,"PACK OF 60 DINOSAUR CAKE CASES",24,"12/1/2010 9:37",0.55,14688,"United Kingdom",£,13.200000000000001,Sales
98,536378,21977,"PACK OF 60 PINK PAISLEY CAKE CASES",24,"12/1/2010 9:37",0.55,14688,"United Kingdom",£,13.200000000000001,Sales
99,536378,84991,"60 TEATIME FAIRY CAKE CASES",24,"12/1/2010 9:37",0.55,14688,"United Kingdom",£,13.200000000000001,Sales
100,536378,84519A,"TOMATO CHARLIE+LOLA COASTER SET",6,"12/1/2010 9:37",2.95,14688,"United Kingdom",£,17.700000000000003,Sales
101,536378,85183B,"CHARLIE & LOLA WASTEPAPER BIN FLORA",48,"12/1/2010 9:37",1.25,14688,"United Kingdom",£,60,Sales
102,536378,85071B,"RED CHARLIE+LOLA PERSONAL DOORSIGN",96,"12/1/2010 9:37",0.38,14688,"United Kingdom",£,36.480000000000004,Sales
103,536378,21931,"JUMBO STORAGE BAG SUKI",10,"12/1/2010 9:37",1.95,14688,"United Kingdom",£,19.5,Sales
104,536378,21929,"JUMBO BAG PINK VINTAGE PAISLEY",10,"12/1/2010 9:37",1.95,14688,"United Kingdom",£,19.5,Sales
105,536380,22961,"JAM MAKING SET PRINTED",24,"12/1/2010 9:41",1.45,17809,"United Kingdom",£,34.8,Sales
106,536381,22139,"RETROSPOT TEA SET CERAMIC 11 PC ",23,"12/1/2010 9:41",4.25,15311,"United Kingdom",£,97.75,Sales
107,536381,84854,"GIRLY PINK TOOL SET",5,"12/1/2010 9:41",4.95,15311,"United Kingdom",£,24.75,Sales
108,536381,22411,"JUMBO SHOPPER VINTAGE RED PAISLEY",10,"12/1/2010 9:41",1.95,15311,"United Kingdom",£,19.5,Sales
109,536381,82567,"AIRLINE LOUNGE,METAL SIGN",2,"12/1/2010 9:41",2.1,15311,"United Kingdom",£,4.2,Sales
110,536381,21672,"WHITE SPOT RED CERAMIC DRAWER KNOB",6,"12/1/2010 9:41",1.25,15311,"United Kingdom",£,7.5,Sales
111,536381,22774,"RED DRAWER KNOB ACRYLIC EDWARDIAN",24,"12/1/2010 9:41",1.25,15311,"United Kingdom",£,30,Sales
112,536381,22771,"CLEAR DRAWER KNOB ACRYLIC EDWARDIAN",24,"12/1/2010 9:41",1.25,15311,"United Kingdom",£,30,Sales
113,536381,71270,"PHOTO CLIP LINE",1,"12/1/2010 9:41",1.25,15311,"United Kingdom",£,1.25,Sales
114,536381,22262,"FELT EGG COSY CHICKEN",1,"12/1/2010 9:41",0.85,15311,"United Kingdom",£,0.85,Sales
115,536381,22637,"PIGGY BANK RETROSPOT ",1,"12/1/2010 9:41",2.55,15311,"United Kingdom",£,2.55,Sales
116,536381,21934,"SKULL SHOULDER BAG",10,"12/1/2010 9:41",1.65,15311,"United Kingdom",£,16.5,Sales
117,536381,21169,"YOU'RE CONFUSING ME METAL SIGN ",3,"12/1/2010 9:41",1.69,15311,"United Kingdom",£,5.07,Sales
118,536381,21166,"COOK WITH WINE METAL SIGN ",1,"12/1/2010 9:41",1.95,15311,"United Kingdom",£,1.95,Sales
119,536381,21175,"GIN + TONIC DIET METAL SIGN",2,"12/1/2010 9:41",2.1,15311,"United Kingdom",£,4.2,Sales
120,536381,37444A,"YELLOW BREAKFAST CUP AND SAUCER",1,"12/1/2010 9:41",2.95,15311,"United Kingdom",£,2.95,Sales
121,536381,37444C,"PINK BREAKFAST CUP AND SAUCER ",1,"12/1/2010 9:41",2.95,15311,"United Kingdom",£,2.95,Sales
122,536381,22086,"PAPER CHAIN KIT 50'S CHRISTMAS ",4,"12/1/2010 9:41",2.95,15311,"United Kingdom",£,11.8,Sales
123,536381,22083,"PAPER CHAIN KIT RETROSPOT",1,"12/1/2010 9:41",2.95,15311,"United Kingdom",£,2.95,Sales
124,536381,84971S,"SMALL HEART FLOWERS HOOK ",6,"12/1/2010 9:41",0.85,15311,"United Kingdom",£,5.1,Sales
125,536381,71270,"PHOTO CLIP LINE",3,"12/1/2010 9:41",1.25,15311,"United Kingdom",£,3.75,Sales
126,536381,47580,"TEA TIME DES TEA COSY",2,"12/1/2010 9:41",2.55,15311,"United Kingdom",£,5.1,Sales
127,536381,22261,"FELT EGG COSY WHITE RABBIT ",1,"12/1/2010 9:41",0.85,15311,"United Kingdom",£,0.85,Sales
128,536381,84832,"ZINC WILLIE WINKIE  CANDLE STICK",1,"12/1/2010 9:41",0.85,15311,"United Kingdom",£,0.85,Sales
129,536381,22644,"CERAMIC CHERRY CAKE MONEY BANK",1,"12/1/2010 9:41",1.45,15311,"United Kingdom",£,1.45,Sales
130,536381,21533,"RETROSPOT LARGE MILK JUG",1,"12/1/2010 9:41",4.95,15311,"United Kingdom",£,4.95,Sales
131,536381,21557,"SET OF 6 FUNKY BEAKERS",2,"12/1/2010 9:41",2.95,15311,"United Kingdom",£,5.9,Sales
132,536381,15056BL,"EDWARDIAN PARASOL BLACK",2,"12/1/2010 9:41",5.95,15311,"United Kingdom",£,11.9,Sales
133,536381,15056N,"EDWARDIAN PARASOL NATURAL",2,"12/1/2010 9:41",5.95,15311,"United Kingdom",£,11.9,Sales
134,536381,22646,"CERAMIC STRAWBERRY CAKE MONEY BANK",4,"12/1/2010 9:41",1.45,15311,"United Kingdom",£,5.8,Sales
135,536381,22176,"BLUE OWL SOFT TOY",1,"12/1/2010 9:41",2.95,15311,"United Kingdom",£,2.95,Sales
136,536381,22438,"BALLOON ART MAKE YOUR OWN FLOWERS",1,"12/1/2010 9:41",1.95,15311,"United Kingdom",£,1.95,Sales
137,536381,21731,"RED TOADSTOOL LED NIGHT LIGHT",2,"12/1/2010 9:41",1.65,15311,"United Kingdom",£,3.3,Sales
138,536381,22778,"GLASS CLOCHE SMALL",3,"12/1/2010 9:41",3.95,15311,"United Kingdom",£,11.850000000000001,Sales
139,536381,22719,"GUMBALL MONOCHROME COAT RACK",36,"12/1/2010 9:41",1.06,15311,"United Kingdom",£,38.160000000000004,Sales
140,536381,21523,"DOORMAT FANCY FONT HOME SWEET HOME",10,"12/1/2010 9:41",6.75,15311,"United Kingdom",£,67.5,Sales
141,C536379,D,Discount,-1,"12/1/2010 9:41",27.5,14527,"United Kingdom",£,-27.5,Returns
142,536382,10002,"INFLATABLE POLITICAL GLOBE ",12,"12/1/2010 9:45",0.85,16098,"United Kingdom",£,10.2,Sales
143,536382,21912,"VINTAGE SNAKES & LADDERS",8,"12/1/2010 9:45",3.75,16098,"United Kingdom",£,30,Sales
144,536382,21832,"CHOCOLATE CALCULATOR",12,"12/1/2010 9:45",1.65,16098,"United Kingdom",£,19.799999999999997,Sales
145,536382,22411,"JUMBO SHOPPER VINTAGE RED PAISLEY",10,"12/1/2010 9:45",1.95,16098,"United Kingdom",£,19.5,Sales
146,536382,22379,"RECYCLING BAG RETROSPOT ",10,"12/1/2010 9:45",2.1,16098,"United Kingdom",£,21,Sales
147,536382,22381,"TOY TIDY PINK POLKADOT",50,"12/1/2010 9:45",1.85,16098,"United Kingdom",£,92.5,Sales
148,536382,22798,"ANTIQUE GLASS DRESSING TABLE POT",8,"12/1/2010 9:45",2.95,16098,"United Kingdom",£,23.6,Sales
149,536382,22726,"ALARM CLOCK BAKELIKE GREEN",4,"12/1/2010 9:45",3.75,16098,"United Kingdom",£,15,Sales
150,536382,22926,"IVORY GIANT GARDEN THERMOMETER",12,"12/1/2010 9:45",5.95,16098,"United Kingdom",£,71.4,Sales
151,536382,22839,"3 TIER CAKE TIN GREEN AND CREAM",2,"12/1/2010 9:45",14.95,16098,"United Kingdom",£,29.9,Sales
152,536382,22838,"3 TIER CAKE TIN RED AND CREAM",2,"12/1/2010 9:45",14.95,16098,"United Kingdom",£,29.9,Sales
153,536382,22783,"SET 3 WICKER OVAL BASKETS W LIDS",4,"12/1/2010 9:45",16.95,16098,"United Kingdom",£,67.8,Sales
154,C536383,35004C,"SET OF 3 COLOURED  FLYING DUCKS",-1,"12/1/2010 9:49",4.65,15311,"United Kingdom",£,-4.65,Returns
155,536384,82484,"WOOD BLACK BOARD ANT WHITE FINISH",3,"12/1/2010 9:53",6.45,18074,"United Kingdom",£,19.35,Sales
156,536384,84755,"COLOUR GLASS T-LIGHT HOLDER HANGING",48,"12/1/2010 9:53",0.65,18074,"United Kingdom",£,31.200000000000003,Sales
157,536384,22464,"HANGING METAL HEART LANTERN",12,"12/1/2010 9:53",1.65,18074,"United Kingdom",£,19.799999999999997,Sales
158,536384,21324,"HANGING MEDINA LANTERN SMALL",6,"12/1/2010 9:53",2.95,18074,"United Kingdom",£,17.700000000000003,Sales
159,536384,22457,"NATURAL SLATE HEART CHALKBOARD ",12,"12/1/2010 9:53",2.95,18074,"United Kingdom",£,35.400000000000006,Sales
160,536384,22469,"HEART OF WICKER SMALL",40,"12/1/2010 9:53",1.45,18074,"United Kingdom",£,58,Sales
161,536384,22470,"HEART OF WICKER LARGE",40,"12/1/2010 9:53",2.55,18074,"United Kingdom",£,102,Sales
162,536384,22224,"WHITE LOVEBIRD LANTERN",6,"12/1/2010 9:53",2.95,18074,"United Kingdom",£,17.700000000000003,Sales
163,536384,21340,"CLASSIC METAL BIRDCAGE PLANT HOLDER",2,"12/1/2010 9:53",12.75,18074,"United Kingdom",£,25.5,Sales
164,536384,22189,"CREAM HEART CARD HOLDER",4,"12/1/2010 9:53",3.95,18074,"United Kingdom",£,15.8,Sales
165,536384,22427,"ENAMEL FLOWER JUG CREAM",3,"12/1/2010 9:53",5.95,18074,"United Kingdom",£,17.85,Sales
166,536384,22428,"ENAMEL FIRE BUCKET CREAM",6,"12/1/2010 9:53",6.95,18074,"United Kingdom",£,41.7,Sales
167,536384,22424,"ENAMEL BREAD BIN CREAM",8,"12/1/2010 9:53",10.95,18074,"United Kingdom",£,87.6,Sales
168,536385,22783,"SET 3 WICKER OVAL BASKETS W LIDS",1,"12/1/2010 9:56",19.95,17420,"United Kingdom",£,19.95,Sales
169,536385,22961,"JAM MAKING SET PRINTED",12,"12/1/2010 9:56",1.45,17420,"United Kingdom",£,17.4,Sales
170,536385,22960,"JAM MAKING SET WITH JARS",6,"12/1/2010 9:56",4.25,17420,"United Kingdom",£,25.5,Sales
171,536385,22663,"JUMBO BAG DOLLY GIRL DESIGN",10,"12/1/2010 9:56",1.95,17420,"United Kingdom",£,19.5,Sales
172,536385,85049A,"TRADITIONAL CHRISTMAS RIBBONS",12,"12/1/2010 9:56",1.25,17420,"United Kingdom",£,15,Sales
173,536385,22168,"ORGANISER WOOD ANTIQUE WHITE ",2,"12/1/2010 9:56",8.5,17420,"United Kingdom",£,17,Sales
174,536385,22662,"LUNCH BAG DOLLY GIRL DESIGN",10,"12/1/2010 9:56",1.65,17420,"United Kingdom",£,16.5,Sales
175,536386,84880,"WHITE WIRE EGG HOLDER",36,"12/1/2010 9:57",4.95,16029,"United Kingdom",£,178.20000000000002,Sales
176,536386,85099C,"JUMBO  BAG BAROQUE BLACK WHITE",100,"12/1/2010 9:57",1.65,16029,"United Kingdom",£,165,Sales
177,536386,85099B,"JUMBO BAG RED RETROSPOT",100,"12/1/2010 9:57",1.65,16029,"United Kingdom",£,165,Sales
178,536387,79321,"CHILLI LIGHTS",192,"12/1/2010 9:58",3.82,16029,"United Kingdom",£,733.4399999999999,Sales
179,536387,22780,"LIGHT GARLAND BUTTERFILES PINK",192,"12/1/2010 9:58",3.37,16029,"United Kingdom",£,647.04,Sales
180,536387,22779,"WOODEN OWLS LIGHT GARLAND ",192,"12/1/2010 9:58",3.37,16029,"United Kingdom",£,647.04,Sales
181,536387,22466,"FAIRY TALE COTTAGE NIGHTLIGHT",432,"12/1/2010 9:58",1.45,16029,"United Kingdom",£,626.4,Sales
182,536387,21731,"RED TOADSTOOL LED NIGHT LIGHT",432,"12/1/2010 9:58",1.25,16029,"United Kingdom",£,540,Sales
183,536388,21754,"HOME BUILDING BLOCK WORD",3,"12/1/2010 9:59",5.95,16250,"United Kingdom",£,17.85,Sales
184,536388,21755,"LOVE BUILDING BLOCK WORD",3,"12/1/2010 9:59",5.95,16250,"United Kingdom",£,17.85,Sales
185,536388,21523,"DOORMAT FANCY FONT HOME SWEET HOME",2,"12/1/2010 9:59",7.95,16250,"United Kingdom",£,15.9,Sales
186,536388,21363,"HOME SMALL WOOD LETTERS",3,"12/1/2010 9:59",4.95,16250,"United Kingdom",£,14.850000000000001,Sales
187,536388,21411,"GINGHAM HEART  DOORSTOP RED",3,"12/1/2010 9:59",4.25,16250,"United Kingdom",£,12.75,Sales
188,536388,22318,"FIVE HEART HANGING DECORATION",6,"12/1/2010 9:59",2.95,16250,"United Kingdom",£,17.700000000000003,Sales
189,536388,22464,"HANGING METAL HEART LANTERN",12,"12/1/2010 9:59",1.65,16250,"United Kingdom",£,19.799999999999997,Sales
190,536388,22915,"ASSORTED BOTTLE TOP  MAGNETS ",12,"12/1/2010 9:59",0.42,16250,"United Kingdom",£,5.04,Sales
191,536388,22922,"FRIDGE MAGNETS US DINER ASSORTED",12,"12/1/2010 9:59",0.85,16250,"United Kingdom",£,10.2,Sales
192,536388,22969,"HOMEMADE JAM SCENTED CANDLES",12,"12/1/2010 9:59",1.45,16250,"United Kingdom",£,17.4,Sales
193,536388,22923,"FRIDGE MAGNETS LES ENFANTS ASSORTED",12,"12/1/2010 9:59",0.85,16250,"United Kingdom",£,10.2,Sales
194,536388,21115,"ROSE CARAVAN DOORSTOP",4,"12/1/2010 9:59",6.75,16250,"United Kingdom",£,27,Sales
195,536388,22469,"HEART OF WICKER SMALL",12,"12/1/2010 9:59",1.65,16250,"United Kingdom",£,19.799999999999997,Sales
196,536388,22242,"5 HOOK HANGER MAGIC TOADSTOOL",12,"12/1/2010 9:59",1.65,16250,"United Kingdom",£,19.799999999999997,Sales
197,536389,22941,"CHRISTMAS LIGHTS 10 REINDEER",6,"12/1/2010 10:03",8.5,12431,Australia,$,51,Sales
198,536389,21622,"VINTAGE UNION JACK CUSHION COVER",8,"12/1/2010 10:03",4.95,12431,Australia,$,39.6,Sales
199,536389,21791,"VINTAGE HEADS AND TAILS CARD GAME ",12,"12/1/2010 10:03",1.25,12431,Australia,$,15,Sales
200,536389,35004C,"SET OF 3 COLOURED  FLYING DUCKS",6,"12/1/2010 10:03",5.45,12431,Australia,$,32.7,Sales
